"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"24412",2006-07-01,"2006","0 - 14",5310,"Census","All Households"
"24412",2006-07-01,"2006","15 - 24",3335,"Census","All Households"
"24412",2006-07-01,"2006","25 - 34",3465,"Census","All Households"
"24412",2006-07-01,"2006","35 - 44",4435,"Census","All Households"
"24412",2006-07-01,"2006","45 - 54",4520,"Census","All Households"
"24412",2006-07-01,"2006","55 - 64",3430,"Census","All Households"
"24412",2006-07-01,"2006","Total 65+",3325,"Census","All Households"
"24412",2006-07-01,"2006","Total",27825,"Census","All Households"
"24412",2011-07-01,"2011","0 - 14",5220,"Census","All Households"
"24412",2011-07-01,"2011","15 - 24",3530,"Census","All Households"
"24412",2011-07-01,"2011","25 - 34",3495,"Census","All Households"
"24412",2011-07-01,"2011","35 - 44",3790,"Census","All Households"
"24412",2011-07-01,"2011","45 - 54",4675,"Census","All Households"
"24412",2011-07-01,"2011","55 - 64",3880,"Census","All Households"
"24412",2011-07-01,"2011","Total 65+",3900,"Census","All Households"
"24412",2011-07-01,"2011","Total",28485,"Census","All Households"
"24412",2016-07-01,"2016","0 - 14",5290,"Census","All Households"
"24412",2016-07-01,"2016","15 - 24",3305,"Census","All Households"
"24412",2016-07-01,"2016","25 - 34",3190,"Census","All Households"
"24412",2016-07-01,"2016","35 - 44",3790,"Census","All Households"
"24412",2016-07-01,"2016","45 - 54",4120,"Census","All Households"
"24412",2016-07-01,"2016","55 - 64",4160,"Census","All Households"
"24412",2016-07-01,"2016","Total 65+",4215,"Census","All Households"
"24412",2016-07-01,"2016","Total",28070,"Census","All Households"
"24412",2021-07-01,"2021","0 - 14",4980,"Census","All Households"
"24412",2021-07-01,"2021","15 - 24",2930,"Census","All Households"
"24412",2021-07-01,"2021","25 - 34",3200,"Census","All Households"
"24412",2021-07-01,"2021","35 - 44",3390,"Census","All Households"
"24412",2021-07-01,"2021","45 - 54",3535,"Census","All Households"
"24412",2021-07-01,"2021","55 - 64",4165,"Census","All Households"
"24412",2021-07-01,"2021","Total 65+",4955,"Census","All Households"
"24412",2021-07-01,"2021","Total",27155,"Census","All Households"
