"GeoUID","Date","DateString","Age of Population","Value","Survey","Series"
"13320",2006-07-01,"2006","0 - 14",14485,"Census","All Households"
"13320",2006-07-01,"2006","15 - 24",12290,"Census","All Households"
"13320",2006-07-01,"2006","25 - 34",12020,"Census","All Households"
"13320",2006-07-01,"2006","35 - 44",12920,"Census","All Households"
"13320",2006-07-01,"2006","45 - 54",13065,"Census","All Households"
"13320",2006-07-01,"2006","55 - 64",10195,"Census","All Households"
"13320",2006-07-01,"2006","Total 65+",10710,"Census","All Households"
"13320",2006-07-01,"2006","Total",85685,"Census","All Households"
"13320",2011-07-01,"2011","0 - 14",15500,"Census","All Households"
"13320",2011-07-01,"2011","15 - 24",13200,"Census","All Households"
"13320",2011-07-01,"2011","25 - 34",12995,"Census","All Households"
"13320",2011-07-01,"2011","35 - 44",12935,"Census","All Households"
"13320",2011-07-01,"2011","45 - 54",14430,"Census","All Households"
"13320",2011-07-01,"2011","55 - 64",12300,"Census","All Households"
"13320",2011-07-01,"2011","Total 65+",12910,"Census","All Households"
"13320",2011-07-01,"2011","Total",94270,"Census","All Households"
"13320",2016-07-01,"2016","0 - 14",16645,"Census","All Households"
"13320",2016-07-01,"2016","15 - 24",13145,"Census","All Households"
"13320",2016-07-01,"2016","25 - 34",13200,"Census","All Households"
"13320",2016-07-01,"2016","35 - 44",13250,"Census","All Households"
"13320",2016-07-01,"2016","45 - 54",14790,"Census","All Households"
"13320",2016-07-01,"2016","55 - 64",13570,"Census","All Households"
"13320",2016-07-01,"2016","Total 65+",15770,"Census","All Households"
"13320",2016-07-01,"2016","Total",100370,"Census","All Households"
"13320",2021-07-01,"2021","0 - 14",17095,"Census","All Households"
"13320",2021-07-01,"2021","15 - 24",13555,"Census","All Households"
"13320",2021-07-01,"2021","25 - 34",14180,"Census","All Households"
"13320",2021-07-01,"2021","35 - 44",14320,"Census","All Households"
"13320",2021-07-01,"2021","45 - 54",13880,"Census","All Households"
"13320",2021-07-01,"2021","55 - 64",14790,"Census","All Households"
"13320",2021-07-01,"2021","Total 65+",19345,"Census","All Households"
"13320",2021-07-01,"2021","Total",107165,"Census","All Households"
