"GeoUID","Date","DateString","Age of Primary Household Maintainer","Value","Survey","Series"
"59932",2006-07-01,"2006","15 - 24",2160,"Census","All Households"
"59932",2006-07-01,"2006","25 - 34",8135,"Census","All Households"
"59932",2006-07-01,"2006","35 - 44",12405,"Census","All Households"
"59932",2006-07-01,"2006","45 - 54",12345,"Census","All Households"
"59932",2006-07-01,"2006","55 - 64",8765,"Census","All Households"
"59932",2006-07-01,"2006","Total 65+",12145,"Census","All Households"
"59932",2006-07-01,"2006","Total",55955,"Census","All Households"
"59932",2011-07-01,"2011","15 - 24",1960,"Census","All Households"
"59932",2011-07-01,"2011","25 - 34",8535,"Census","All Households"
"59932",2011-07-01,"2011","35 - 44",11460,"Census","All Households"
"59932",2011-07-01,"2011","45 - 54",13545,"Census","All Households"
"59932",2011-07-01,"2011","55 - 64",10720,"Census","All Households"
"59932",2011-07-01,"2011","Total 65+",13100,"Census","All Households"
"59932",2011-07-01,"2011","Total",59315,"Census","All Households"
"59932",2016-07-01,"2016","15 - 24",1790,"Census","All Households"
"59932",2016-07-01,"2016","25 - 34",8600,"Census","All Households"
"59932",2016-07-01,"2016","35 - 44",10995,"Census","All Households"
"59932",2016-07-01,"2016","45 - 54",13170,"Census","All Households"
"59932",2016-07-01,"2016","55 - 64",12525,"Census","All Households"
"59932",2016-07-01,"2016","Total 65+",15545,"Census","All Households"
"59932",2016-07-01,"2016","Total",62635,"Census","All Households"
"59932",2021-07-01,"2021","15 - 24",1710,"Census","All Households"
"59932",2021-07-01,"2021","25 - 34",8905,"Census","All Households"
"59932",2021-07-01,"2021","35 - 44",12490,"Census","All Households"
"59932",2021-07-01,"2021","45 - 54",12755,"Census","All Households"
"59932",2021-07-01,"2021","55 - 64",13350,"Census","All Households"
"59932",2021-07-01,"2021","Total 65+",18410,"Census","All Households"
"59932",2021-07-01,"2021","Total",67610,"Census","All Households"
