"GeoUID","Date","DateString","Structure Size","Value","Quality","Survey","Series"
"46602",2007-07-01,"2007","3-19 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2007-07-01,"2007","20-49 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2007-07-01,"2007","50-99 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2007-07-01,"2007","100+ Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2007-07-01,"2007","Total",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2008-07-01,"2008","3-19 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2008-07-01,"2008","20-49 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2008-07-01,"2008","50-99 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2008-07-01,"2008","100+ Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2008-07-01,"2008","Total",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2009-07-01,"2009","3-19 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2009-07-01,"2009","20-49 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2009-07-01,"2009","50-99 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2009-07-01,"2009","100+ Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2009-07-01,"2009","Total",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2010-07-01,"2010","3-19 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2010-07-01,"2010","20-49 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2010-07-01,"2010","50-99 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2010-07-01,"2010","100+ Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2010-07-01,"2010","Total",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2011-07-01,"2011","3-19 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2011-07-01,"2011","20-49 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2011-07-01,"2011","50-99 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2011-07-01,"2011","100+ Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2011-07-01,"2011","Total",13.8,"Fair (Use with Caution)","Srms","Percentage Condo used as Rental"
"46602",2012-07-01,"2012","3-19 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2012-07-01,"2012","20-49 Units",11.4,"Fair (Use with Caution)","Srms","Percentage Condo used as Rental"
"46602",2012-07-01,"2012","50-99 Units",9.5,"Good","Srms","Percentage Condo used as Rental"
"46602",2012-07-01,"2012","100+ Units",17.9,"Fair (Use with Caution)","Srms","Percentage Condo used as Rental"
"46602",2012-07-01,"2012","Total",14.5,"Good","Srms","Percentage Condo used as Rental"
"46602",2013-07-01,"2013","3-19 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2013-07-01,"2013","20-49 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2013-07-01,"2013","50-99 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2013-07-01,"2013","100+ Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2013-07-01,"2013","Total",13.9,"Fair (Use with Caution)","Srms","Percentage Condo used as Rental"
"46602",2014-07-01,"2014","3-19 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2014-07-01,"2014","20-49 Units",10.5,"Fair (Use with Caution)","Srms","Percentage Condo used as Rental"
"46602",2014-07-01,"2014","50-99 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2014-07-01,"2014","100+ Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2014-07-01,"2014","Total",17.8,"Fair (Use with Caution)","Srms","Percentage Condo used as Rental"
"46602",2015-07-01,"2015","3-19 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2015-07-01,"2015","20-49 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2015-07-01,"2015","50-99 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2015-07-01,"2015","100+ Units",23.6,"Fair (Use with Caution)","Srms","Percentage Condo used as Rental"
"46602",2015-07-01,"2015","Total",18.8,"Fair (Use with Caution)","Srms","Percentage Condo used as Rental"
"46602",2016-07-01,"2016","3-19 Units",NA,NA,"Srms","Percentage Condo used as Rental"
"46602",2016-07-01,"2016","20-49 Units",11.9,"Fair (Use with Caution)","Srms","Percentage Condo used as Rental"
"46602",2016-07-01,"2016","50-99 Units",11.8,"Fair (Use with Caution)","Srms","Percentage Condo used as Rental"
"46602",2016-07-01,"2016","100+ Units",23.6,"Fair (Use with Caution)","Srms","Percentage Condo used as Rental"
"46602",2016-07-01,"2016","Total",18,"Fair (Use with Caution)","Srms","Percentage Condo used as Rental"
